Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_252_770,VDD,Metal1,391.4490,978.4210,1.200000
FILLER_252_763,VDD,Metal1,388.0890,978.4210,1.200000
FILLER_252_756,VDD,Metal1,384.7290,978.4210,1.200000
FILLER_252_749,VDD,Metal1,381.3690,978.4210,1.200000
FILLER_252_742,VDD,Metal1,378.0090,978.4210,1.200000
FILLER_252_735,VDD,Metal1,374.6490,978.4210,1.200000
FILLER_252_728,VDD,Metal1,371.2890,978.4210,1.200000
FILLER_252_721,VDD,Metal1,367.9290,978.4210,1.200000
FILLER_252_714,VDD,Metal1,364.5690,978.4210,1.200000
FILLER_252_707,VDD,Metal1,361.2090,978.4210,1.200000
FILLER_252_700,VDD,Metal1,357.8490,978.4210,1.200000
FILLER_252_693,VDD,Metal1,354.4890,978.4210,1.200000
FILLER_252_686,VDD,Metal1,351.1290,978.4210,1.200000
FILLER_252_679,VDD,Metal1,347.7690,978.4210,1.200000
FILLER_252_672,VDD,Metal1,344.4090,978.4210,1.200000
FILLER_252_665,VDD,Metal1,341.0490,978.4210,1.200000
FILLER_252_658,VDD,Metal1,337.6890,978.4210,1.200000
FILLER_252_651,VDD,Metal1,334.3290,978.4210,1.200000
FILLER_252_644,VDD,Metal1,330.9690,978.4210,1.200000
FILLER_252_637,VDD,Metal1,327.6090,978.4210,1.200000
FILLER_252_630,VDD,Metal1,324.2490,978.4210,1.200000
FILLER_252_623,VDD,Metal1,320.8890,978.4210,1.200000
FILLER_252_616,VDD,Metal1,317.5290,978.4210,1.200000
FILLER_252_609,VDD,Metal1,314.1690,978.4210,1.200000
FILLER_252_602,VDD,Metal1,310.8090,978.4210,1.200000
FILLER_252_595,VDD,Metal1,307.4490,978.4210,1.200000
FILLER_252_588,VDD,Metal1,304.0890,978.4210,1.200000
FILLER_252_581,VDD,Metal1,300.7290,978.4210,1.200000
FILLER_252_574,VDD,Metal1,297.3690,978.4210,1.200000
FILLER_252_567,VDD,Metal1,294.0090,978.4210,1.200000
FILLER_252_560,VDD,Metal1,290.6490,978.4210,1.200000
FILLER_252_553,VDD,Metal1,287.2890,978.4210,1.200000
FILLER_252_546,VDD,Metal1,283.9290,978.4210,1.200000
FILLER_252_539,VDD,Metal1,280.5690,978.4210,1.200000
FILLER_252_532,VDD,Metal1,277.2090,978.4210,1.200000
FILLER_252_525,VDD,Metal1,273.8490,978.4210,1.200000
FILLER_252_518,VDD,Metal1,270.4890,978.4210,1.200000
FILLER_252_511,VDD,Metal1,267.1290,978.4210,1.200000
FILLER_252_504,VDD,Metal1,263.7690,978.4210,1.200000
FILLER_252_497,VDD,Metal1,260.4090,978.4210,1.200000
FILLER_252_490,VDD,Metal1,257.0490,978.4210,1.200000
FILLER_252_483,VDD,Metal1,253.6890,978.4210,1.200000
FILLER_252_476,VDD,Metal1,250.3290,978.4210,1.200000
FILLER_252_469,VDD,Metal1,246.9690,978.4210,1.200000
FILLER_252_462,VDD,Metal1,243.6090,978.4210,1.200000
FILLER_252_455,VDD,Metal1,240.2490,978.4210,1.200000
FILLER_252_448,VDD,Metal1,236.8890,978.4210,1.200000
FILLER_252_441,VDD,Metal1,233.5290,978.4210,1.200000
FILLER_252_434,VDD,Metal1,230.1690,978.4210,1.200000
FILLER_252_427,VDD,Metal1,226.8090,978.4210,1.200000
FILLER_252_420,VDD,Metal1,223.4490,978.4210,1.200000
FILLER_252_413,VDD,Metal1,220.0890,978.4210,1.200000
FILLER_252_406,VDD,Metal1,216.7290,978.4210,1.200000
FILLER_252_399,VDD,Metal1,213.3690,978.4210,1.200000
FILLER_252_392,VDD,Metal1,210.0090,978.4210,1.200000
FILLER_252_385,VDD,Metal1,206.6490,978.4210,1.200000
FILLER_252_378,VDD,Metal1,203.2890,978.4210,1.200000
FILLER_252_371,VDD,Metal1,199.9290,978.4210,1.200000
FILLER_252_364,VDD,Metal1,196.5690,978.4210,1.200000
FILLER_252_357,VDD,Metal1,193.2090,978.4210,1.200000
FILLER_252_350,VDD,Metal1,189.8490,978.4210,1.200000
FILLER_252_343,VDD,Metal1,186.4890,978.4210,1.200000
FILLER_252_336,VDD,Metal1,183.1290,978.4210,1.200000
FILLER_252_329,VDD,Metal1,179.7690,978.4210,1.200000
FILLER_252_322,VDD,Metal1,176.4090,978.4210,1.200000
FILLER_252_315,VDD,Metal1,173.0490,978.4210,1.200000
FILLER_252_308,VDD,Metal1,169.6890,978.4210,1.200000
FILLER_252_301,VDD,Metal1,166.3290,978.4210,1.200000
FILLER_252_294,VDD,Metal1,162.9690,978.4210,1.200000
FILLER_252_287,VDD,Metal1,159.6090,978.4210,1.200000
FILLER_252_280,VDD,Metal1,156.2490,978.4210,1.200000
FILLER_252_273,VDD,Metal1,152.8890,978.4210,1.200000
FILLER_252_266,VDD,Metal1,149.5290,978.4210,1.200000
FILLER_252_259,VDD,Metal1,146.1690,978.4210,1.200000
FILLER_252_252,VDD,Metal1,142.8090,978.4210,1.200000
FILLER_252_245,VDD,Metal1,139.4490,978.4210,1.200000
FILLER_252_238,VDD,Metal1,136.0890,978.4210,1.200000
FILLER_252_231,VDD,Metal1,132.7290,978.4210,1.200000
FILLER_252_224,VDD,Metal1,129.3690,978.4210,1.200000
FILLER_252_217,VDD,Metal1,126.0090,978.4210,1.200000
FILLER_252_210,VDD,Metal1,122.6490,978.4210,1.200000
FILLER_252_203,VDD,Metal1,119.2890,978.4210,1.200000
FILLER_252_196,VDD,Metal1,115.9290,978.4210,1.200000
FILLER_252_189,VDD,Metal1,112.5690,978.4210,1.200000
FILLER_252_182,VDD,Metal1,109.2090,978.4210,1.200000
FILLER_252_175,VDD,Metal1,105.8490,978.4210,1.200000
FILLER_252_168,VDD,Metal1,102.4890,978.4210,1.200000
FILLER_252_161,VDD,Metal1,99.1290,978.4210,1.200000
FILLER_252_154,VDD,Metal1,95.7690,978.4210,1.200000
FILLER_252_147,VDD,Metal1,92.4090,978.4210,1.200000
FILLER_252_140,VDD,Metal1,89.0490,978.4210,1.200000
FILLER_252_133,VDD,Metal1,85.6890,978.4210,1.200000
FILLER_252_126,VDD,Metal1,82.3290,978.4210,1.200000
FILLER_252_119,VDD,Metal1,78.9690,978.4210,1.200000
FILLER_252_112,VDD,Metal1,75.6090,978.4210,1.200000
FILLER_252_105,VDD,Metal1,72.2490,978.4210,1.200000
FILLER_252_98,VDD,Metal1,68.8890,978.4210,1.200000
FILLER_252_91,VDD,Metal1,65.5290,978.4210,1.200000
FILLER_252_84,VDD,Metal1,62.1690,978.4210,1.200000
FILLER_252_77,VDD,Metal1,58.8090,978.4210,1.200000
FILLER_252_70,VDD,Metal1,55.4490,978.4210,1.200000
FILLER_252_63,VDD,Metal1,52.0890,978.4210,1.200000
FILLER_252_56,VDD,Metal1,48.7290,978.4210,1.200000
FILLER_252_49,VDD,Metal1,45.3690,978.4210,1.200000
FILLER_252_42,VDD,Metal1,42.0090,978.4210,1.200000
FILLER_252_35,VDD,Metal1,38.6490,978.4210,1.200000
FILLER_252_28,VDD,Metal1,35.2890,978.4210,1.200000
FILLER_252_21,VDD,Metal1,31.9290,978.4210,1.200000
FILLER_252_14,VDD,Metal1,28.5690,978.4210,1.200000
FILLER_252_7,VDD,Metal1,25.2090,978.4210,1.200000
FILLER_252_0,VDD,Metal1,21.8490,978.4210,1.200000
